ООО НПП "Коксовый брикет",|Кемеровская обл, Новокузнецк г, Стрелочный туп, 12/7|,(н/д),Кемеровская область,Обычная организация,4221030160,1104221001488,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=4683F0FBEEAD9B69AB7409B20F1B35F2
ЗАО "СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА",|163000, г. Архангельск, пр. Советских Космонавтов, д.52|,(н/д),Архангельская область,Кредитная организация,2901047470,1022900001849,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=79A1486D55EE991B310400FEE4E9B43D
ГУП ОПХ "ЧЕРНЫШЕВСКОЕ",|Саратовская обл, Федоровский р-н, Долина с|,(н/д),Саратовская область,Сельскохозяйственная организация,6436000426,1026400817959,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=10C1D85063530FABD9A4B7B9EF81C0D5
ООО ПСП "Жилстройгражданпроект",|366813, Чеченская Респ, Надтеречный р-н, Знаменское с, Шоссейная ул, 21, 3|,89053549910,Чеченская Республика,Обычная организация,2007492186,1062033006023,77217268,https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=A6F7F38E4CDE3199B7B4BCC8CE351E3A
ООО ПФ "СтройДом",|Ставропольский край, Изобильненский р-н, Солнечнодольск пгт, Техническая ул, 14, 34|,(н/д),Ставропольский край,Обычная организация,2607019976,1072607000542,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=39904DC7C82C55282244AEEF78579621
ОАО-СПП "Донец-Агро",|Ростовская обл, Белокалитвинский р-н, Богураев х, Центральная ул, 41|,(8662)771092,Ростовская область,Сельскохозяйственная организация,6142018004,1036142001521,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=7D6AD8FE1DB1F0FBAA44276B485F55FF
ООО '' Сомелье '',|Кировская обл, Киров г, Московская ул, 114|,79028305727,Кировская область,Обычная организация,4348036003,1024301327940,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=A4E0B6D28A7987EAF3C48EB112DD4507
ООО - СК "ГОРОД",|443091, Самарская обл, Самара г, Карла Маркса пр-кт, 410, 25|,(н/д),Самарская область,Обычная организация,6312082987,1086312004371,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=C88A77470BAA6CC903A454A7965FD02D
OOO "Строй-Аз",|364016,Чеченская Республика,г.Грозный, ул.Алексеева, дом 51|,89053549910,Чеченская Республика,Обычная организация,2015045167,1092031005879,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=E17D639569D0F96B90E49FD88EA5A78D
ООО - ТАПМ "ПСКОВАРХПРОЕКТ - М",|Псковская обл, Псков г, Конная ул, 2, ПОМЕЩЕНИЕ 1015.КОМ.211|,(н/д),Псковская область,Ликвидируемый должник,6027050440,1026000971512,58701000,https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=2C32CD7169373458CFA4529DE261FB07
ООО - ТД "УЧИНСКИЙ",|Удмуртская Респ, Можгинский р-н, Большая Уча с, Садовая ул, 24|,(н/д),Удмуртская Республика,Ликвидируемый должник,1817006185,1041803100206,(н/д),https://bankrot.fedresurs.ru/OrganizationCard.aspx?ID=FC005F71734D19CA55C4C6A70228A8A7
