«ТЕНДЕР ГАРАНТ»|http://www.tendergarant.com|"Ассоциация операторов электронных площадок '"Профессионалы электронного рынка'""|22.11.2016|(н/д)|ООО «ТЕНДЕР ГАРАНТ»|197760, г. Санкт-Петербург, г. Кронштадт, ул. Гидростроителей, д. 8, литер А, пом. 20|7843313514|1117847361334|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=515baf4a-84a7-44d7-ab19-798f3b9681e1
«Электрон-Март»|http://www.electronmart.ru|Не включена в СРО ЭТП|(н/д)|(н/д)|ООО «Электрон-Март»|129164, г. Москва, ул. Ярославская, д. 8, корп. 4, офис 319|7709878574|1117746414543|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=f4c75e07-16c9-4ac5-b5dc-98cb6ece8598
«Электронная площадка «Вердиктъ»|http://www.vertrades.ru|"Ассоциация операторов электронных площадок '"Профессионалы электронного рынка'""|22.11.2016|(н/д)|ООО «Электронная площадка «Вердиктъ» |400001, г. Волгоград, ул. Калинина, д. 13, этаж 13|3445112650|1103460004317|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=302623ad-deae-4a39-9fd3-21c1569ad2a4
«Электронная торговая площадка ELECTRO-TORGI.RU»|http://www.bankrupt.electro-torgi.ru|Союз Операторов Электронных Площадок|11.11.2016|(н/д)|АО «Вэллстон»|107140, город Москва, улица Красносельская Верхняя, дом 2/1, строение 1, помещение 302|7708671190|1087746627253|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=3e8effee-9a9b-4236-a57e-6c015650f7e8
B2B-Center|http://www.b2b-center.ru|Союз Операторов Электронных Площадок|11.11.2016|(н/д)|ОАО «Центр развития экономики»|Россия, 142601, Московская обл., г. Орехово-Зуево, ул. Бабушкина, д. 2 «а»|5034031535|1075034003967|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=0d28b2a4-41a7-4254-88ea-0910a55b5875
KARTOTEKA.RU|http://etp.kartoteka.ru|Союз Операторов Электронных Площадок|30.12.2016|(н/д)|"ООО '"Коммерсантъ КАРТОТЕКА'""|119330, город Москва, улица Мосфильмовская, 17Б|7713038962|1027700177130|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=edff52ba-7755-43b1-a146-a77370109334
Tender Technologies|http://www.tender.one|Союз Торговых Электронных Площадок|30.06.2017|(н/д)|Oбщество с ограниченной отвественностью  «Тендерные технологии»|344022 г. Ростов-на-Дону, ул. Восточная, д.41, оф. 11 |6163106163|1116195000679|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=f505b057-e502-4652-8314-b019366e941d
UralBidIn|http://www.uralbidin.ru|Союз Торговых Электронных Площадок|06.10.2016|(н/д)|"ООО '"УралБидИн'""|620028, Свердловская обл., г. Екатеринбург, ул. Фролова, д. 29, оф. 7|6658371541|1106658018862|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=ff658c6e-3cf2-4feb-ae4f-572b859a34e9
uTender|http://utender.ru/|Союз Операторов Электронных Площадок|11.11.2016|(н/д)|"ООО '"ЮТендер'""|344008, Россия, Ростовская область, г. Ростов-на-Дону, ул. Береговая, 5|6164265896|1076164008359|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=b1995a23-8a13-4337-ad90-09e57e75e18c
АКОСТА info|http://www.akosta.info|"Ассоциация операторов электронных площадок '"Профессионалы электронного рынка'""|22.11.2016|(н/д)|ООО «А-Коста»|350003, г. Краснодар, ул. Адыгейская набережная, д. 98|2308084984|1022301213725|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=35b4f974-0a69-44e0-8cc8-e1b50a179bde
